customerID,gender,SeniorCitizen,Partner,tenure,Contract,MonthlyCharges,TotalCharges,avg_monthly_spend,tenure_group,is_long_term_contract,Churn
9426-SXNHE,Female,0,false,2,Month-to-month,18.75,53.15,26.57,0-1 year,0,false
3806-YAZOV,Female,0,false,3,Month-to-month,18.8,56.0,18.67,0-1 year,0,false
3387-PLKUI,Female,0,true,13,Month-to-month,18.8,251.25,19.33,1-2 years,0,false
8992-CEUEN,Female,0,false,1,Month-to-month,18.85,18.85,18.85,0-1 year,0,false
0620-XEFWH,Male,0,true,4,Month-to-month,18.85,84.2,21.05,0-1 year,0,false
5863-OOKCL,Female,0,false,10,Month-to-month,18.85,163.2,16.32,0-1 year,0,false
9318-NKNFC,Male,0,false,1,Month-to-month,18.85,18.85,18.85,0-1 year,0,true
9975-SKRNR,Male,0,false,1,Month-to-month,18.9,18.9,18.9,0-1 year,0,false
5025-GOOKI,Female,0,false,20,Month-to-month,18.9,347.65,17.38,1-2 years,0,false
7968-QUXNS,Male,0,false,6,Month-to-month,18.95,110.15,18.36,0-1 year,0,false
9025-ZRPVR,Male,0,false,9,Month-to-month,18.95,185.6,20.62,0-1 year,0,true
1386-ZIKUV,Male,0,false,7,Month-to-month,18.95,130.55,18.65,0-1 year,0,false
1218-VKFPE,Female,0,true,12,Month-to-month,19.0,233.55,19.46,0-1 year,0,true
1423-BMPBQ,Female,0,true,1,Month-to-month,19.0,19.0,19.0,0-1 year,0,false
2023-VQFDL,Male,0,false,18,Month-to-month,19.0,348.8,19.38,1-2 years,0,false
5222-JCXZT,Male,0,false,4,Month-to-month,19.0,78.9,19.73,0-1 year,0,false
7234-KMNRQ,Male,0,false,4,Month-to-month,19.0,73.45,18.36,0-1 year,0,false
1015-OWJKI,Male,0,false,1,Month-to-month,19.05,19.05,19.05,0-1 year,0,false
9467-ROOLM,Female,0,false,25,Month-to-month,19.05,461.3,18.45,2-4 years,0,false
1991-VOPLL,Female,0,false,9,Month-to-month,19.05,157.65,17.52,0-1 year,0,false
1431-CYWMH,Female,0,true,22,Month-to-month,19.05,454.05,20.64,1-2 years,0,false
6569-KTMDU,Female,0,false,1,Month-to-month,19.1,19.1,19.1,0-1 year,0,false
6121-VZNQB,Female,0,false,1,Month-to-month,19.1,19.1,19.1,0-1 year,0,true
9441-QHEVC,Male,0,false,1,Month-to-month,19.1,19.1,19.1,0-1 year,0,false
9039-ZVJDC,Male,0,false,3,Month-to-month,19.1,53.05,17.68,0-1 year,0,false
7302-ZHMHP,Female,0,false,1,Month-to-month,19.15,19.15,19.15,0-1 year,0,false
